latitude,longitude,FID,id,st_area(shape),st_perimeter(shape),
0,0,169,313,5.340004603032247e-8,0.0010574322286806652,
0,0,170,314,0.0000016260104114124756,0.005128923241661271,
0,0,171,315,5.315877594144699e-7,0.0033451445708388523,
0,0,172,317,1.0649204088157565e-7,0.0015414394401163716,
0,0,173,318,1.8304512317634996e-7,0.001984988505090937,
0,0,174,319,5.13976107786447e-7,0.002944421931425348,
0,0,175,320,4.863466116749016e-7,0.003030296718269777,
0,0,176,321,0.000014709644509771657,0.03742427546386075,
0,0,177,322,3.491684894671874e-7,0.002856885519238844,
0,0,178,323,1.8304894268911982e-7,0.001984968358979319,
0,0,179,324,0.0000035139206576470614,0.008318902004236364,
0,0,180,325,5.789086136704163e-7,0.0030825334693375403,
0,0,181,326,0.000001214996610593161,0.004972579290564111,
0,0,182,327,0.000005204133574926834,0.011797169288401396,
0,0,183,328,6.136490895023655e-7,0.003427043001344259,
0,0,184,329,0.0000016967018085938057,0.005867163392478759,
0,0,185,332,0.0000013315453949773748,0.005156734384800337,
0,0,186,334,6.996708192127518e-7,0.0034528019100123443,
0,0,187,335,1.0529036924451025e-7,0.0016367040676728093,
0,0,188,336,0.0000011625946403584871,0.0049387267760528306,
0,0,189,337,0.0000013185026796730086,0.005064347845512903,
0,0,190,338,6.375304224893137e-7,0.003289257108674948,
0,0,191,339,0.0000015157460502462915,0.005073745464269618,
0,0,192,342,0.0000012632747768094732,0.005454543103303195,
0,0,193,343,5.3401755287273813e-8,0.0010574522571787826,
0,0,194,344,5.340325343970803e-8,0.0010574688252446463,
0,0,195,345,0.000002298713257010228,0.008443901158984315,
0,0,196,347,4.680031923035386e-7,0.0028380167741550322,
0,0,197,348,0.0000014248382163625022,0.004969434262817528,
0,0,198,349,7.312024123022588e-7,0.004043421645586395,
0,0,199,355,5.469208574125759e-7,0.0030678030996610438,
0,0,200,356,3.9651648874770306e-7,0.00338244105618599,
0,0,201,357,5.340388025584338e-8,0.001057476274134411,
0,0,202,358,5.340405574752918e-8,0.0010574782036022635,
0,0,203,359,1.6100363675948154e-7,0.0020391204638269046,
0,0,204,360,3.3547183686731395e-7,0.002767880476093132,
0,0,205,361,0.000002121458396263832,0.006479169796552922,
0,0,206,363,5.34057820802393e-8,0.001057499847592198,
0,0,207,364,0.0000016574495650673788,0.005659718448172073,
0,0,208,365,0.0000024214208841434075,0.008020423025444992,
0,0,209,366,5.469415582886398e-7,0.0030679544869006183,
0,0,210,368,0.000001370224192354546,0.005099324592469924,
0,0,211,369,0.0000010424074803653228,0.004510729896446528,
0,0,212,370,4.201707682740838e-7,0.0029982568773750133,
0,0,213,372,1.0650310024196156e-7,0.0015415218312008127,
0,0,214,374,8.462014801140346e-7,0.004326632131869836,
0,0,215,375,0.0000018092112124399682,0.005778360671152968,
0,0,216,376,3.5472553202293283e-7,0.002432372994061734,
0,0,217,380,5.3406428734093954e-8,0.0010575085124971287,
0,0,218,381,5.3400904595030824e-8,0.00105744126526835,
0,0,219,382,1.5632766076133334e-7,0.0022273921820921416,
0,0,220,383,1.0528836216625195e-7,0.0016366683585024308,
0,0,221,384,2.0958504390317723e-7,0.002098099506446247,
0,0,222,385,2.931009479758204e-7,0.0026247580891337594,
0,0,223,387,1.0528442013456923e-7,0.0016366195404638462,
0,0,224,388,0.0000028063563652922792,0.007625481946920025,
0,0,225,389,1.0650147696534876e-7,0.001541502904987925,
0,0,226,390,1.8070406392144e-7,0.001991548934863839,
0,0,227,391,1.807056795392953e-7,0.0019915781642466123,
