latitude,longitude,objectid,id,nome,geoaprox,classporte,antrop,densidade,secundaria,st_area(shape),st_perimeter(shape),
0,0,105,105, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.0000064564787437875835,0.013423514381571822,
0,0,114,114, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.0000044845544606864116,0.01484449300414926,
0,0,115,115, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.0000017392344665142086,0.011034998191309275,
0,0,116,116, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.000002366508766251496,0.011996822059465992,
0,0,117,117, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.000001887864675746399,0.007434665978038203,
0,0,118,118, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.00000402660974383473,0.01201516252076084,
0,0,119,119, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.000003874858300197451,0.008165584186711084,
0,0,120,120, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.0000012523908890580137,0.006331402820746648,
0,0,121,121, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.000012274838481871032,0.018718931293815338,
0,0,122,122, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.000003149742112524289,0.009954566516548559,
0,0,123,123, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.000003326230659797685,0.007686515000785501,
0,0,124,124, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.0000011366362604460644,0.00888893598324555,
0,0,125,125, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.0000022471556869487657,0.008359709459636003,
0,0,126,126, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.000002969150358331017,0.008551891169016765,
0,0,127,127, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.0000016898325113915139,0.006832276215528442,
0,0,128,128, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,9.379784489353803e-7,0.00607522458978841,
0,0,129,129, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,9.586766181845248e-7,0.004820638434644583,
