latitude,longitude,OBJECTID,canteirodivisorio,geometriaaproximada,nome,nomeabrev,nrfaixas,operacional,revestimento,situacaofisica,trafego,geom_Length,st_length(shape),
0,0,215,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.002939740294380183,
0,0,216,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0034307164504507907,
0,0,217,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.002605418283358776,
0,0,218,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0014601876530953176,
0,0,219,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0015090200989252196,
0,0,220,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0014561889597243635,
0,0,221,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0014827654263738317,
0,0,222,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0015623313992086398,
0,0,223,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0015533534068991937,
0,0,224,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0015746923755123442,
0,0,225,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0015168011385819752,
0,0,226,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0015357979174979808,
0,0,227,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0016036701857224463,
0,0,228,Não,Não,,,2,Sim,Revestimento primário,Construída,Permanente,null,0.002224377002790932,
0,0,229,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0015239404275283776,
0,0,230,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0015214181101554888,
0,0,231,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0015079721377251813,
0,0,232,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0015755901549604709,
0,0,233,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0015399992092529622,
0,0,234,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0015993819095280204,
0,0,235,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0030672580917404614,
0,0,236,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0014377718063222477,
0,0,237,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0015396300687790761,
0,0,238,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.003575161829119282,
0,0,239,Não,Não,,,null,Sim,Desconhecido,Construída,Permanente,null,0.0013099020578229334,
0,0,240,Não,Não,,,null,Sim,Desconhecido,Construída,Permanente,null,0.002913165510371643,
0,0,241,Não,Não,,,null,Sim,Desconhecido,Construída,Permanente,null,0.002722906107861788,
0,0,242,Não,Não,,,null,Sim,Desconhecido,Construída,Permanente,null,0.0015282542552080027,
0,0,243,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.002460447375825993,
0,0,244,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0018258142582468911,
0,0,245,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.002718285368324315,
0,0,246,Não,Não,,,null,Sim,Desconhecido,Construída,Permanente,null,0.00041160181399839315,
0,0,247,Não,Não,,,null,Sim,Desconhecido,Construída,Permanente,null,0.0005320758824310262,
0,0,248,Não,Não,,,null,Sim,Desconhecido,Construída,Permanente,null,0.0016191944319445862,
0,0,249,Não,Não,,,null,Sim,Desconhecido,Construída,Permanente,null,0.0015535043980355256,
